type,stimFormat,stimFormat_actual,ITI,fixation,ISI,presTime,keyboard,key,responseWindow,responseWindow_actual,bgColor,textColor,feedback,feedbackTime,randomBlock,randomPick,N1_Gen,N2_Gen,N2_Animacy,Acc / UnAcc,VS / SV,violation type,stim1,stim2,stim3,stim4,stim5,sentence
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,Gen,עוצר,המכונית,של,הילדה,,עוצר המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,Num,המכונית,של,הילדה,עוצרות,,המכונית של הילדה עוצרות  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,Num,עוצרות,המכונית,של,הילדה,,עוצרות המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,sv,NumGen,המכונית,של,הילדה,עוצרים,,המכונית של הילדה עוצרים  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,1,1,F,F,Animate,Acc ,vs,NumGen,עוצרים,המכונית,של,הילדה,,עוצרים המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,-,המכונית,של,הילדה,נהרסת,,המכונית של הילדה נהרסת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,-,נהרסת,המכונית,של,הילדה,,נהרסת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,-,המכונית,של,הילדה,נהרסת,,המכונית של הילדה נהרסת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,-,נהרסת,המכונית,של,הילדה,,נהרסת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,-,המכונית,של,הילדה,נהרסת,,המכונית של הילדה נהרסת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,-,נהרסת,המכונית,של,הילדה,,נהרסת המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,Gen,המכונית,של,הילדה,נהרס,,המכונית של הילדה נהרס  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,Gen,נהרס,המכונית,של,הילדה,,נהרס המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,Num,המכונית,של,הילדה,נהרסות,,המכונית של הילדה נהרסות  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,Num,נהרסות,המכונית,של,הילדה,,נהרסות המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,sv,NumGen,המכונית,של,הילדה,נהרסים,,המכונית של הילדה נהרסים  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,2,1,F,F,Animate,unAcc ,vs,NumGen,נהרסים,המכונית,של,הילדה,,נהרסים המכונית של הילדה  
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,-,הציור,של,הבית,מרגש,את האנשים,הציור של הבית מרגש את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,-,מרגש,הציור,של,הבית,את האנשים,מרגש הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,-,הציור,של,הבית,מרגש,את האנשים,הציור של הבית מרגש את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,-,מרגש,הציור,של,הבית,את האנשים,מרגש הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,-,הציור,של,הבית,מרגש,את האנשים,הציור של הבית מרגש את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,-,מרגש,הציור,של,הבית,את האנשים,מרגש הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,Gen,הציור,של,הבית,מרגשת,את האנשים,הציור של הבית מרגשת את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,Gen,מרגשת,הציור,של,הבית,את האנשים,מרגשת הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,Num,הציור,של,הבית,מרגשים,את האנשים,הציור של הבית מרגשים את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,Num,מרגשים,הציור,של,הבית,את האנשים,מרגשים הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,sv,NumGen,הציור,של,הבית,מרגשות,את האנשים,הציור של הבית מרגשות את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,3,1,M,M,Inanimate,Acc ,vs,NumGen,מרגשות,הציור,של,הבית,את האנשים,מרגשות הציור של הבית את האנשים 
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,-,הציור,של,הבית,מתלכלך,,הציור של הבית מתלכלך  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,-,מתלכלך,הציור,של,הבית,,מתלכלך הציור של הבית  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,-,הציור,של,הבית,מתלכלך,,הציור של הבית מתלכלך  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,-,מתלכלך,הציור,של,הבית,,מתלכלך הציור של הבית  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,-,הציור,של,הבית,מתלכלך,,הציור של הבית מתלכלך  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,-,מתלכלך,הציור,של,הבית,,מתלכלך הציור של הבית  
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,Gen,הציור,של,הבית,מתלכלכת,,הציור של הבית מתלכלכת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,Gen,מתלכלכת,הציור,של,הבית,,מתלכלכת הציור של הבית  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,Num,הציור,של,הבית,מתלכלכים,,הציור של הבית מתלכלכים  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,Num,מתלכלכים,הציור,של,הבית,,מתלכלכים הציור של הבית  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,sv,NumGen,הציור,של,הבית,מתלכלכות,,הציור של הבית מתלכלכות  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,4,1,M,M,Inanimate,unAcc ,vs,NumGen,מתלכלכות,הציור,של,הבית,,מתלכלכות הציור של הבית  
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,-,התמונה,של,המשפחה,מרגשת,את האנשים,התמונה של המשפחה מרגשת את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,-,מרגשת,התמונה,של,המשפחה,את האנשים,מרגשת התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,-,התמונה,של,המשפחה,מרגשת,את האנשים,התמונה של המשפחה מרגשת את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,-,מרגשת,התמונה,של,המשפחה,את האנשים,מרגשת התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,-,התמונה,של,המשפחה,מרגשת,את האנשים,התמונה של המשפחה מרגשת את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,-,מרגשת,התמונה,של,המשפחה,את האנשים,מרגשת התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,Gen,התמונה,של,המשפחה,מרגש,את האנשים,התמונה של המשפחה מרגש את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,Gen,מרגש,התמונה,של,המשפחה,את האנשים,מרגש התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,Num,התמונה,של,המשפחה,מרגשות,את האנשים,התמונה של המשפחה מרגשות את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,Num,מרגשות,התמונה,של,המשפחה,את האנשים,מרגשות התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,sv,NumGen,התמונה,של,המשפחה,מרגשים,את האנשים,התמונה של המשפחה מרגשים את האנשים 
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,5,1,F,F,Inanimate,Acc ,vs,NumGen,מרגשים,התמונה,של,המשפחה,את האנשים,מרגשים התמונה של המשפחה את האנשים 
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,-,התמונה,של,המשפחה,מתנפצת,,התמונה של המשפחה מתנפצת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,-,מתנפצת,התמונה,של,המשפחה,,מתנפצת התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,-,התמונה,של,המשפחה,מתנפצת,,התמונה של המשפחה מתנפצת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,-,מתנפצת,התמונה,של,המשפחה,,מתנפצת התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,-,התמונה,של,המשפחה,מתנפצת,,התמונה של המשפחה מתנפצת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,-,מתנפצת,התמונה,של,המשפחה,,מתנפצת התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,Gen,התמונה,של,המשפחה,מתנפץ,,התמונה של המשפחה מתנפץ  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,Gen,מתנפץ,התמונה,של,המשפחה,,מתנפץ התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,Num,התמונה,של,המשפחה,מתנפצות,,התמונה של המשפחה מתנפצות  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,Num,מתנפצות,התמונה,של,המשפחה,,מתנפצות התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,sv,NumGen,התמונה,של,המשפחה,מתנפצים,,התמונה של המשפחה מתנפצים  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,6,1,F,F,Inanimate,unAcc ,vs,NumGen,מתנפצים,התמונה,של,המשפחה,,מתנפצים התמונה של המשפחה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,-,הטרקטור,מאחורי,התיבה,נוסע,,הטרקטור מאחורי התיבה נוסע  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,-,נוסע,הטרקטור,מאחורי,התיבה,,נוסע הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,-,הטרקטור,מאחורי,התיבה,נוסע,,הטרקטור מאחורי התיבה נוסע  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,-,נוסע,הטרקטור,מאחורי,התיבה,,נוסע הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,-,הטרקטור,מאחורי,התיבה,נוסע,,הטרקטור מאחורי התיבה נוסע  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,-,נוסע,הטרקטור,מאחורי,התיבה,,נוסע הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,Gen,הטרקטור,מאחורי,התיבה,נוסעת ,,הטרקטור מאחורי התיבה נוסעת   
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,Gen,הטרקטור,מאחורי,התיבה,נוסע,,הטרקטור מאחורי התיבה נוסע  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,Gen,נוסעת ,הטרקטור,מאחורי,התיבה,,נוסעת  הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,Num,נוסעים ,הטרקטור,מאחורי,התיבה,,נוסעים  הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,sv,NumGen,הטרקטור,מאחורי,התיבה,נוסעות ,,הטרקטור מאחורי התיבה נוסעות   
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,7,1,M,F,Inanimate,Acc ,vs,NumGen,נוסעות ,הטרקטור,מאחורי,התיבה,,נוסעות  הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,-,הטרקטור,מאחורי,התיבה,נהרס,,הטרקטור מאחורי התיבה נהרס  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,-,נהרס,הטרקטור,מאחורי,התיבה,,נהרס הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,-,הטרקטור,מאחורי,התיבה,נהרס,,הטרקטור מאחורי התיבה נהרס  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,-,נהרס,הטרקטור,מאחורי,התיבה,,נהרס הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,-,הטרקטור,מאחורי,התיבה,נהרס,,הטרקטור מאחורי התיבה נהרס  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,-,נהרס,הטרקטור,מאחורי,התיבה,,נהרס הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,Gen,הטרקטור,מאחורי,התיבה,נהרסת,,הטרקטור מאחורי התיבה נהרסת  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,Gen,נהרסת,הטרקטור,מאחורי,התיבה,,נהרסת הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,Num,הטרקטור,מאחורי,התיבה,נהרסים,,הטרקטור מאחורי התיבה נהרסים  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,Num,נהרסים,הטרקטור,מאחורי,התיבה,,נהרסים הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,sv,NumGen,הטרקטור,מאחורי,התיבה,נהרסות,,הטרקטור מאחורי התיבה נהרסות  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,8,1,M,F,Inanimate,unAcc ,vs,NumGen,נהרסות,הטרקטור,מאחורי,התיבה,,נהרסות הטרקטור מאחורי התיבה  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1001,1200_1001,black,gray,space: לחצת,401,9,1,F,M,Inanimate,Acc ,sv,-,המשאית,מאחורי,השלט,נוסעת ,,המשאית מאחורי השלט נוסעת   
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,9,1,F,M,Inanimate,Acc ,vs,-,נוסעת ,המשאית,מאחורי,השלט,,נוסעת  המשאית מאחורי השלט  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1001,1200_1001,black,gray,space: לחצת,401,9,1,F,M,Inanimate,Acc ,sv,-,המשאית,מאחורי,השלט,נוסעת ,,המשאית מאחורי השלט נוסעת   
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,9,1,F,M,Inanimate,Acc ,vs,-,נוסעת ,המשאית,מאחורי,השלט,,נוסעת  המשאית מאחורי השלט  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1001,1200_1001,black,gray,space: לחצת,401,9,1,F,M,Inanimate,Acc ,sv,-,המשאית,מאחורי,השלט,נוסעת ,,המשאית מאחורי השלט נוסעת   
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,,lastStim_1000,1200_1000,black,gray,space: לחצת,400,9,1,F,M,Inanimate,Acc ,vs,-,נוסעת ,המשאית,מאחורי,השלט,,נוסעת  המשאית מאחורי השלט  
test,word,.png,1600,ITI,150;150;150,250;250;250;250,space,space,lastStim_1000,1200_1000,black,gray,space: לחצת,400,9,1,F,M,Inanimate,Acc ,sv,Gen,המשאית,מאחורי,השלט,נוסע ,,המשאית מאחורי השלט נוסע   
